issue_date,target_time,p10,p50,p90
2026-06-09,2026-06-10 21:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-10,2026-06-10 22:00:00+00:00,0.0,1.54480478956687e-07,0.5057334561541481
2026-06-10,2026-06-10 23:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-10,2026-06-11 00:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-10,2026-06-11 01:00:00+00:00,0.0,1.54480478956687e-07,1.792245017854052
2026-06-10,2026-06-11 02:00:00+00:00,1.625205707241343,8.924813042256796,17.519036431103036
2026-06-10,2026-06-11 03:00:00+00:00,1.5215457990586123,7.806003579597684,95.98538717744924
2026-06-10,2026-06-11 04:00:00+00:00,156.0376277177422,203.09894368659045,224.8755624160869
2026-06-10,2026-06-11 05:00:00+00:00,300.3420168979931,477.55861377481807,483.0493880852746
2026-06-10,2026-06-11 06:00:00+00:00,523.6723383756084,694.668722439352,793.1768510633071
2026-06-10,2026-06-11 07:00:00+00:00,650.7772675901261,1016.6978509650286,1057.7640410193412
2026-06-10,2026-06-11 08:00:00+00:00,912.7879699344162,1322.1196916710562,1327.379069762387
2026-06-10,2026-06-11 09:00:00+00:00,1034.5416840450407,1449.2285197987198,1585.8362704104086
2026-06-10,2026-06-11 10:00:00+00:00,1262.673083997672,1680.6301303005516,1844.125715871812
2026-06-10,2026-06-11 11:00:00+00:00,1465.3743394944447,1839.155904060628,1977.9943027707675
2026-06-10,2026-06-11 12:00:00+00:00,1465.8076847908203,1796.3866447765208,1800.622362010536
2026-06-10,2026-06-11 13:00:00+00:00,1230.0355551967457,1531.2966825305346,1635.694162019207
2026-06-10,2026-06-11 14:00:00+00:00,992.2173282327772,1332.83366367294,1417.6731528062992
2026-06-10,2026-06-11 15:00:00+00:00,819.9043814029383,895.1634371811361,1034.188395703975
2026-06-10,2026-06-11 16:00:00+00:00,510.6452767264408,593.230280269854,632.8679243868069
2026-06-10,2026-06-11 17:00:00+00:00,230.5864958765581,348.0993385290339,371.39642318069286
2026-06-10,2026-06-11 18:00:00+00:00,98.10025972631276,121.52182962274436,159.41222371807717
2026-06-10,2026-06-11 19:00:00+00:00,0.0,0.0,32.61344752073412
2026-06-10,2026-06-11 20:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-10,2026-06-11 21:00:00+00:00,0.0,0.0,1.54480478956687e-07
2026-06-11,2026-06-11 22:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-11,2026-06-11 23:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-11,2026-06-12 00:00:00+00:00,0.0,0.0,1.5448047895668698e-07
2026-06-11,2026-06-12 01:00:00+00:00,0.0,1.5448047895668698e-07,1.7922450178540519
2026-06-11,2026-06-12 02:00:00+00:00,1.625205707241343,5.11580428642472,17.519036431103036
2026-06-11,2026-06-12 03:00:00+00:00,1.6781514372914144,1.904882379935696,60.08134790310493
2026-06-11,2026-06-12 04:00:00+00:00,238.6317399445223,358.0035235091636,501.0264796015198
2026-06-11,2026-06-12 05:00:00+00:00,545.9315882808853,880.3344018283923,1180.0653720136047
2026-06-11,2026-06-12 06:00:00+00:00,1040.8542324393181,1441.8168360075122,1604.3067026782348
2026-06-11,2026-06-12 07:00:00+00:00,1302.577021875304,1752.7687194997654,1795.2281260372727
2026-06-11,2026-06-12 08:00:00+00:00,1406.2410446190734,1839.3148546285008,1912.0953891290492
2026-06-11,2026-06-12 09:00:00+00:00,1408.1776207629764,1775.8221219732009,1815.5771914181958
2026-06-11,2026-06-12 10:00:00+00:00,1436.6786389701756,1759.0646672237938,1805.1696090538853
2026-06-11,2026-06-12 11:00:00+00:00,1348.6814272401402,1708.4203608926193,1716.3700397949926
2026-06-11,2026-06-12 12:00:00+00:00,1062.6048718850025,1439.53584960747,1440.5304213191478
2026-06-11,2026-06-12 13:00:00+00:00,779.767561992522,1009.9274896986551,1119.3562524069862
2026-06-11,2026-06-12 14:00:00+00:00,489.8044168493672,671.6163974885811,702.1135019396767
2026-06-11,2026-06-12 15:00:00+00:00,379.3979796892433,461.45085435619717,568.9704404668754
