target_time,issue_date,p10,p50,p90,actual
2026-06-12 07:00:00+00:00,2026-06-11,1302.577021875304,1752.7687194997654,1795.228126037273,1743.8575
2026-06-12 08:00:00+00:00,2026-06-11,1406.2410446190734,1839.3148546285008,1912.0953891290487,1843.725
2026-06-12 09:00:00+00:00,2026-06-11,1408.1776207629764,1775.8221219732009,1815.577191418196,1695.805
2026-06-12 10:00:00+00:00,2026-06-11,1436.6786389701756,1759.0646672237938,1805.169609053885,1583.6275
2026-06-12 11:00:00+00:00,2026-06-11,1348.6814272401402,1708.420360892619,1716.3700397949926,1528.0425
2026-06-12 12:00:00+00:00,2026-06-11,1062.6048718850025,1439.53584960747,1440.5304213191478,1220.8425
2026-06-12 13:00:00+00:00,2026-06-11,779.767561992522,1009.9274896986552,1119.3562524069862,992.965
2026-06-12 14:00:00+00:00,2026-06-11,489.8044168493672,671.6163974885811,702.1135019396767,769.935
2026-06-12 15:00:00+00:00,2026-06-11,379.3979796892433,461.4508543561972,568.9704404668754,560.19
2026-06-12 16:00:00+00:00,2026-06-11,272.7906798021641,408.2389131500156,431.3180405919599,379.22
2026-06-12 17:00:00+00:00,2026-06-11,166.11705155976665,257.0198242242984,293.30517147386195,216.4325
2026-06-12 18:00:00+00:00,2026-06-11,69.0669637036477,112.4546921614038,129.19028593026582,96.61
2026-06-12 19:00:00+00:00,2026-06-11,0.4177471409717533,9.123317888851249,19.552422999910128,66.965
2026-06-12 20:00:00+00:00,2026-06-11,0.0,1.54480478956687e-07,2.525880275561804,4.3175
2026-06-12 21:00:00+00:00,2026-06-11,0.0,1.54480478956687e-07,2.052118111343939,0.0
2026-06-12 22:00:00+00:00,2026-06-12,0.0,1.54480478956687e-07,0.0254974543422761,0.0
2026-06-12 23:00:00+00:00,2026-06-12,0.0,0.0,1.54480478956687e-07,0.0
2026-06-13 00:00:00+00:00,2026-06-12,0.0,0.0,1.54480478956687e-07,0.0
2026-06-13 01:00:00+00:00,2026-06-12,0.0,1.54480478956687e-07,1.792245017854052,4.66
2026-06-13 02:00:00+00:00,2026-06-12,1.625205707241343,8.946448224605792,17.519036431103036,46.47
2026-06-13 03:00:00+00:00,2026-06-12,0.7932723186192542,6.474998762745017,142.82411711133594,78.54
2026-06-13 04:00:00+00:00,2026-06-12,98.06995146323308,187.09338563757703,204.2261074516028,252.9225
2026-06-13 05:00:00+00:00,2026-06-12,266.9849524099876,335.3698976963385,382.75987410519673,620.13
2026-06-13 06:00:00+00:00,2026-06-12,434.051210875937,616.9491121493677,779.2234232147457,1059.6174999999998
2026-06-13 07:00:00+00:00,2026-06-12,725.1836476400347,1001.7434981645766,1025.2914192594478,1477.8600000000001
2026-06-13 08:00:00+00:00,2026-06-12,931.5785122309486,1363.4155781713448,1394.1935024708214,1665.33
2026-06-13 09:00:00+00:00,2026-06-12,1439.3495912481187,1753.9909563261403,1853.85139775592,1999.48
2026-06-13 10:00:00+00:00,2026-06-12,1573.2760900714284,1935.174177221341,1964.277483983996,2257.7825
2026-06-13 11:00:00+00:00,2026-06-12,1591.2922417345412,1897.551532276461,2009.2652540540344,2420.5125
2026-06-13 12:00:00+00:00,2026-06-12,1558.3544919251372,1769.6220815456952,1920.796291297944,2285.7425
2026-06-13 13:00:00+00:00,2026-06-12,1369.384713302508,1566.155775701987,1706.0471337126914,2110.46
2026-06-13 14:00:00+00:00,2026-06-12,1186.1346565249676,1377.9113449722,1518.527080046027,1768.885
2026-06-13 15:00:00+00:00,2026-06-12,911.7435837069908,1055.4000079742495,1139.4754113865272,1248.8325
2026-06-13 16:00:00+00:00,2026-06-12,544.6723626806033,600.9219575232288,622.1812577427229,729.215
2026-06-13 17:00:00+00:00,2026-06-12,249.9533001620117,352.3110878786313,383.1152836713255,328.6375
2026-06-13 18:00:00+00:00,2026-06-12,97.39202830930388,123.88206623953003,127.61941036139392,130.0625
2026-06-13 19:00:00+00:00,2026-06-12,0.0,0.0,36.99734299318154,70.305
2026-06-13 20:00:00+00:00,2026-06-12,0.0,1.54480478956687e-07,2.2674742605311566,4.585
2026-06-13 21:00:00+00:00,2026-06-12,0.0,1.54480478956687e-07,0.4039961727485425,0.0
2026-06-13 22:00:00+00:00,2026-06-13,0.0,0.0,1.54480478956687e-07,0.0
2026-06-13 23:00:00+00:00,2026-06-13,0.0,0.0,1.54480478956687e-07,0.0
2026-06-14 00:00:00+00:00,2026-06-13,0.0,0.0,1.54480478956687e-07,0.0
2026-06-14 01:00:00+00:00,2026-06-13,0.0,1.54480478956687e-07,1.792245017854052,4.69
